일시,최대전력(MW),평균기온(°C),최고기온(°C),최저기온(°C),평균 상대습도(%),평균 풍속(m/s),일강수량(mm),일 최심신적설(cm),월,요일,주말여부,불쾌지수,체감온도
2024-01-01,63132.0,4.45,9.033333333333333,0.5499999999999999,76.86666666666666,1.4166666666666667,0.0,0.0,1,0,0,42.29892766666667,3.419460495035357
2024-01-02,80460.0,5.0,7.683333333333334,2.9499999999999997,69.78333333333333,1.5833333333333333,0.0,0.0,1,1,0,43.82525833333334,3.8255514044838046
2024-01-03,83422.0,3.25,6.416666666666667,0.75,74.46666666666667,2.066666666666667,1.6333333333333335,0.0,1,2,0,40.67973166666667,1.241262738008771
2024-01-04,81728.0,2.75,7.533333333333334,-1.7,65.88333333333333,2.066666666666667,0.0,0.0,1,3,0,40.89985708333333,0.6571968578892666
2024-01-05,80632.0,5.916666666666667,10.783333333333333,1.0,72.96666666666665,2.433333333333333,0.0,0.0,1,4,0,44.93228916666666,4.026889247794577
2024-01-06,67965.0,2.9,7.516666666666667,-0.41666666666666674,59.63333333333333,2.1,1.2,2.966666666666667,1,5,1,41.83350633333333,0.796299411659702
2024-01-07,69798.0,-1.2833333333333334,1.9666666666666668,-4.783333333333334,51.85,3.25,0.0,0.1,1,6,1,37.18719575,-5.284529528490703
2024-01-08,84150.0,-2.4499999999999997,3.033333333333333,-7.416666666666667,49.666666666666664,1.8333333333333333,0.0,0.0,1,0,0,36.00850166666667,-5.094058593280972
2024-01-09,88214.0,1.0166666666666666,4.5,-2.6999999999999997,71.36666666666666,1.5333333333333332,2.266666666666667,2.25,1,1,0,37.63637216666667,-0.6624499386362607
2024-01-10,85081.0,1.0999999999999999,4.8999999999999995,-1.9666666666666666,80.23333333333333,1.8666666666666665,0.3666666666666667,0.1,1,2,0,36.591374333333334,-1.0267271358296766
2024-01-11,84185.0,2.25,6.416666666666667,-2.1,72.8,2.15,0.0,0.0,1,3,0,39.33372,-0.01852378982395053
2024-01-12,80506.0,3.4,8.05,-0.09999999999999994,56.800000000000004,2.15,0.0,0.0,1,4,0,42.843488,1.328816356442825
2024-01-13,68211.0,2.0,7.533333333333334,-1.8666666666666665,44.9,1.7833333333333332,0.0,0.0,1,5,1,42.38832,0.12109420171288532
2024-01-14,66854.0,3.35,9.866666666666667,-2.433333333333333,70.76666666666667,2.35,1.9,0.0,1,6,1,41.240843166666664,1.0705471601717862
2024-01-15,81436.0,-0.25000000000000017,4.5,-3.4,46.43333333333334,2.8333333333333335,0.0,0.0,1,0,0,39.34261083333333,-3.6659135597886143
2024-01-16,83487.0,0.35000000000000003,6.566666666666666,-4.916666666666667,47.38333333333333,1.4666666666666668,0.0,0.0,1,1,0,39.97186658333334,-1.3195920249582356
2024-01-17,86162.0,3.4,5.8,-0.33333333333333326,75.35000000000001,1.3833333333333335,5.699999999999999,1.3499999999999999,1,2,0,40.815231,2.276031348985309
2024-01-18,82978.0,6.416666666666667,9.216666666666667,4.0,85.89999999999999,2.4,6.099999999999999,0.0,1,3,0,44.6705975,4.645725227007638
2024-01-19,81003.0,6.233333333333333,8.700000000000001,5.0,71.43333333333334,3.8333333333333335,0.03333333333333333,0.0,1,4,0,45.54218433333333,3.4515852399237468
2024-01-20,69500.0,4.866666666666666,6.3500000000000005,3.1833333333333336,82.18333333333334,4.2,9.950000000000001,0.0,1,5,1,42.44937633333333,1.5659887153288188
2024-01-21,66867.0,3.783333333333333,7.3500000000000005,0.7333333333333334,81.66666666666667,2.3666666666666667,0.3333333333333333,0.0,1,6,1,40.744991666666664,1.5659426868909687
2024-01-22,86746.0,-4.3999999999999995,1.0833333333333333,-8.133333333333335,63.98333333333333,4.2,0.06666666666666667,1.5,1,0,0,30.799269333333335,-9.867318931180144
2024-01-23,89231.0,-8.066666666666666,-4.766666666666667,-10.450000000000001,59.36666666666667,4.033333333333334,0.46666666666666673,4.75,1,1,0,26.535544666666667,-14.246005697883064
2024-01-24,88055.0,-5.666666666666667,-1.5333333333333334,-9.299999999999999,55.31666666666666,3.6,0.0,0.7000000000000001,1,2,0,30.69645166666667,-10.917844278333275
2024-01-25,86788.0,-3.283333333333333,1.9166666666666667,-7.883333333333333,47.5,2.3333333333333335,0.0,0.0,1,3,0,35.3040125,-6.733073055498918
2024-01-26,84354.0,0.08333333333333333,5.516666666666667,-4.6499999999999995,58.68333333333334,2.033333333333333,0.0,0.0,1,4,0,38.024197083333334,-2.4172107167723986
2024-01-27,69125.0,1.45,6.966666666666666,-2.9333333333333336,61.28333333333333,1.8833333333333335,0.0,0.0,1,5,1,39.59070558333333,-0.6418108343907056
2024-01-28,67741.0,0.7166666666666668,5.366666666666667,-2.8166666666666664,58.35,2.066666666666667,0.0,0.0,1,6,1,38.95044325,-1.7180043879300488
2024-01-29,82039.0,0.7666666666666666,6.133333333333333,-3.483333333333333,61.68333333333334,1.6333333333333335,0.0,0.0,1,0,0,38.568459833333335,-1.0958810994568984
2024-01-30,82692.0,2.8833333333333333,9.783333333333333,-3.1666666666666665,59.1,1.1833333333333333,0.1,0.0,1,1,0,41.8712095,2.0163330042371617
2024-01-31,80671.0,6.816666666666667,13.049999999999999,2.3666666666666667,61.1,1.5999999999999999,0.675,0.0,1,2,0,47.207533500000004,5.887018394366521
